imageFilename,stopSign_1,stopSign_2,stopSign_3,stopSign_4,stopSign_5,stopSign_6,stopSign_7,stopSign_8
D:\Everything\Programs\toolbox\vision\visiondata\stopSignImages\image005.jpg,980,393,31,56,,,,
D:\Everything\Programs\toolbox\vision\visiondata\stopSignImages\image006.jpg,1040.75,354.75,73,72,,,,
D:\Everything\Programs\toolbox\vision\visiondata\stopSignImages\image009.jpg,635,254,65,63,,,,
D:\Everything\Programs\toolbox\vision\visiondata\stopSignImages\image013.jpg,398.20503875969,261.299612403101,349.680620155039,385.699224806202,,,,
D:\Everything\Programs\toolbox\vision\visiondata\stopSignImages\image014.jpg,365.187984496124,306.322868217054,357.184496124031,421.717829457364,,,,
D:\Everything\Programs\toolbox\vision\visiondata\stopSignImages\image020.jpg,653.75,307.75,73.0000000000001,76,,,,
D:\Everything\Programs\toolbox\vision\visiondata\stopSignImages\image021.jpg,589.75,239.75,181,196,,,,
D:\Everything\Programs\toolbox\vision\visiondata\stopSignImages\image022.jpg,509.75,470.75,43,73,,,,
D:\Everything\Programs\toolbox\vision\visiondata\stopSignImages\image023.jpg,570.75,403.75,49,90,,,,
D:\Everything\Programs\toolbox\vision\visiondata\stopSignImages\image024.jpg,527.75,394.75,40,100,,,,
D:\Everything\Programs\toolbox\vision\visiondata\stopSignImages\image025.jpg,745,342,81,84,,,,
D:\Everything\Programs\toolbox\vision\visiondata\stopSignImages\image026.jpg,517.75,289.75,165,158,,,,
D:\Everything\Programs\toolbox\vision\visiondata\stopSignImages\image027.jpg,536.75,177.75,174,258,,,,
D:\Everything\Programs\toolbox\vision\visiondata\stopSignImages\image028.jpg,679.75,366.75,158,223,,,,
D:\Everything\Programs\toolbox\vision\visiondata\stopSignImages\image029.jpg,701.75,429.75,96.9999999999999,99,,,,
D:\Everything\Programs\toolbox\vision\visiondata\stopSignImages\image030.jpg,683.75,445.75,94.0000000000001,94,,,,
D:\Everything\Programs\toolbox\vision\visiondata\stopSignImages\image031.jpg,673.75,370.75,182,185,,,,
D:\Everything\Programs\toolbox\vision\visiondata\stopSignImages\image032.jpg,658.75,290.75,257,367,,,,
D:\Everything\Programs\toolbox\vision\visiondata\stopSignImages\image033.jpg,750.5,1002.5,426.5,518,47.9999999999999,106.5,85.4999999999999,189
D:\Everything\Programs\toolbox\vision\visiondata\stopSignImages\image034.jpg,752,420.5,147,312,,,,
D:\Everything\Programs\toolbox\vision\visiondata\stopSignImages\image035.jpg,348,522,187,654,,,,
D:\Everything\Programs\toolbox\vision\visiondata\stopSignImages\image036.jpg,702.5,254,268.5,621,,,,
D:\Everything\Programs\toolbox\vision\visiondata\stopSignImages\image037.jpg,726.5,129.5,492,667.5,,,,
D:\Everything\Programs\toolbox\vision\visiondata\stopSignImages\image038.jpg,615.5,299,133.5,261,,,,
D:\Everything\Programs\toolbox\vision\visiondata\stopSignImages\image039.jpg,444.5,17.0000000000005,588,1185,,,,
D:\Everything\Programs\toolbox\vision\visiondata\stopSignImages\image040.jpg,862,831,74,75,,,,
D:\Everything\Programs\toolbox\vision\visiondata\stopSignImages\image041.jpg,821,246.5,256.5,396,,,,
